Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
533,Concordium,CCD,0.01,-0.80%,-2.00%,-3.10%,-0.40%,"$204,218.00 ","7,796,200,036",12.6 Billion,"$40,238,660.00 ",0.01,-0.8,-2.0,-3.1,-0.4,204218.0,40238660.0,7796200036.0,False,Small,0.005075169004136818,False,False
534,Wanchain,WAN,0.20,0.00%,-0.60%,-3.90%,13.50%,"$1,095,991.00 ","197,343,564",210 Million,"$40,156,149.00 ",0.2,0.0,-0.6,-3.9,13.5,1095991.0,40156149.0,197343564.0,False,Small,0.02729322973674592,False,False
535,Aavegotchi,GHST,0.79,0.60%,-2.80%,-9.20%,-0.50%,"$1,970,244.00 ","51,157,239",52.7 Million,"$40,156,513.00 ",0.79,0.6,-2.8,-9.2,-0.5,1970244.0,40156513.0,51157239.0,False,Small,0.049064120681992486,False,False
536,Victoria VR,VR,0.01,0.50%,-7.00%,1.50%,25.50%,"$689,470.00 ","5,108,261,393",16.8 Billion,"$40,015,370.00 ",0.01,0.5,-7.0,1.5,25.5,689470.0,40015370.0,5108261393.0,False,Small,0.01723012932280771,False,False
537,Marinade,MNDE,0.17,0.00%,-8.50%,-15.30%,276.20%,"$639,933.00 ","239,023,408",1 Billion,"$39,805,511.00 ",0.17,0.0,-8.5,-15.3,276.2,639933.0,39805511.0,239023408.0,False,Small,0.016076492523861834,False,False
538,COMBO,COMBO,0.56,0.20%,-6.50%,-18.10%,2.80%,"$3,656,446.00 ","71,051,748",100 Million,"$39,805,634.00 ",0.56,0.2,-6.5,-18.1,2.8,3656446.0,39805634.0,71051748.0,False,Small,0.09185749936805428,False,False
539,Altura,ALU,0.06,-1.20%,-6.00%,-17.10%,72.20%,"$1,109,784.00 ","719,755,021",990 Million,"$39,595,361.00 ",0.06,-1.2,-6.0,-17.1,72.2,1109784.0,39595361.0,719755021.0,False,Small,0.028028131881409037,False,False
540,MicrovisionChain,SPACE,20.63,0.10%,13.20%,39.00%,156.10%,"$2,192,225.00 ","1,914,973",21 Million,"$39,506,594.00 ",20.63,0.1,13.2,39.0,156.1,2192225.0,39506594.0,1914973.0,False,Small,0.055490103753312675,False,False
541,Euro Tether,EURT,1.09,0.00%,-1.00%,0.20%,2.10%,"$2,006,447.00 ","36,387,340",400 Million,"$39,411,002.00 ",1.09,0.0,-1.0,0.2,2.1,2006447.0,39411002.0,36387340.0,False,Small,0.05091083449235825,False,False
542,Alpha Quark,AQT,1.49,1.50%,-2.10%,-3.60%,28.90%,"$3,799,643.00 ","26,640,785",30 Million,"$39,399,290.00 ",1.49,1.5,-2.1,-3.6,28.9,3799643.0,39399290.0,26640785.0,False,Small,0.09643937746086287,False,False
543,Aura Finance,AURA,1.00,-0.20%,-0.30%,-1.90%,22.40%,"$137,381.00 ","39,248,833",67 Million,"$39,209,542.00 ",1.0,-0.2,-0.3,-1.9,22.4,137381.0,39209542.0,39248833.0,False,Small,0.0035037644663128173,False,False
544,XCAD Network,XCAD,0.92,-0.20%,-4.00%,15.10%,30.60%,"$2,717,879.00 ","42,821,728",199 Million,"$39,186,512.00 ",0.92,-0.2,-4.0,15.1,30.6,2717879.0,39186512.0,42821728.0,False,Small,0.06935751260535768,False,False
545,Multichain,MULTI,2.02,0.10%,-5.40%,-8.60%,-4.60%,"$2,979,982.00 ","19,363,293",100 Million,"$39,113,829.00 ",2.02,0.1,-5.4,-8.6,-4.6,2979982.0,39113829.0,19363293.0,False,Small,0.07618742721404238,False,False
546,peg-eUSD,PEUSD,0.96,-0.10%,-0.50%,-0.50%,1.60%,"$34,585.00 ","40,646,802",40.6 Million,"$38,906,098.00 ",0.96,-0.1,-0.5,-0.5,1.6,34585.0,38906098.0,40646802.0,False,Small,0.0008889351998239454,False,False
547,AscendEx,ASD,0.05,0.20%,-1.90%,1.00%,-3.50%,"$1,547,979.00 ","742,983,478",743 Million,"$38,901,169.00 ",0.05,0.2,-1.9,1.0,-3.5,1547979.0,38901169.0,742983478.0,False,Small,0.03979260880309278,False,False
548,Destablecoin HAY,HAY,1.00,0.10%,-1.40%,-0.20%,-0.40%,"$3,596,769.00 ","39,044,364",39.2 Million,"$38,891,766.00 ",1.0,0.1,-1.4,-0.2,-0.4,3596769.0,38891766.0,39044364.0,False,Small,0.09248150366841146,False,False
549,BakerySwap,BAKE,0.13,0.20%,-8.60%,-13.70%,4.70%,"$14,598,127.00 ","288,705,145",277 Million,"$38,773,132.00 ",0.13,0.2,-8.6,-13.7,4.7,14598127.0,38773132.0,288705145.0,False,Small,0.37650110390875824,False,False
550,TriasLab,TRIAS,3.86,0.30%,0.30%,-7.80%,18.00%,"$1,313,533.00 ","9,980,937",10 Million,"$38,544,005.00 ",3.86,0.3,0.3,-7.8,18.0,1313533.0,38544005.0,9980937.0,False,Small,0.03407878864689853,False,False
551,Magic Internet Money,MIM,0.99,1.10%,-1.60%,-0.70%,-1.00%,"$337,447.00 ","38,963,572",163 Million,"$38,526,221.00 ",0.99,1.1,-1.6,-0.7,-1.0,337447.0,38526221.0,38963572.0,False,Small,0.008758891768803382,False,False
552,Mossland,MOC,0.09,-0.20%,-6.40%,-10.40%,16.60%,"$4,380,109.00 ","404,489,688",500 Million,"$38,397,234.00 ",0.09,-0.2,-6.4,-10.4,16.6,4380109.0,38397234.0,404489688.0,False,Small,0.11407355540245424,False,False
553,DFI.money,YFII,966.18,-0.10%,-2.20%,-1.00%,88.70%,"$9,061,413.00 ","39,732",40 Thousand,"$38,371,658.00 ",966.18,-0.1,-2.2,-1.0,88.7,9061413.0,38371658.0,39732.0,False,Small,0.23614859175488326,False,False
